Country,Overall,Male,Female
Afghanistan,47.32,47.19,47.47
Albania,76.38,73.43,79.72
Algeria,73.3,70.12,77.7
Angola,49.62,48.21,51.04
Argentina,75.3,71.53,79.07
Armenia,73.69,70.21,76.74
Aruba,74.75,72.28,77.09
Australia,81.44,79.12,84
Austria,80.24,77.41,82.88
Azerbaijan,70.12,67.09,73.14
Bahamas,74.79,71.6,77.83
Bahrain,74.6,74.03,75.37
Bangladesh,67.84,67.41,68.29
Barbados,76.25,73,79.5
Belarus,69.44,63.59,75.53
Belgium,79.77,76.95,82.5
Belize,75.34,73.93,76.8
Benin,54.64,52.72,56.5
Bhutan,65.79,64.08,67.77
Bolivia,65.56,63.43,67.7
Bosnia and Herzegovina,75.12,72.43,77.7
Botswana,53.33,53.8,52.54
Brazil,75.5,71.75,79.25
Brunei,77.51,75.29,79.98
Bulgaria,72.71,69.21,76.35
Burkina Faso,53.87,52.84,54.78
Burundi,48.81,47.48,50.05
Cambodia,61.54,60.21,62.61
Cameroon,49.97,49.02,50.89
Canada,80.5,78.5,83
Cape Verde,73.54,69.41,77.36
Central African Republic,45.91,44.47,47.31
Chad,48.52,47.15,49.9
Channel Islands,79.51,77.32,81.63
Chile,78.65,75.54,81.68
China,72.71,71.1,74.45
Colombia,72.92,69.24,76.66
Comoros,59.65,58.33,61
Congo,56.02,54.88,57.16
Costa Rica,78.87,76.51,81.36
Croatia,76.01,72.45,79.49
Cuba,78.5,76.55,80.52
Cyprus,78.94,76.84,81.07
Czech Republic,77.01,73.78,80.15
Côte d'Ivoire,53.02,52.14,54.05
Democratic Republic of the Congo,47.42,45.93,48.91
Denmark,78.25,75.99,80.5
Djibouti,56.64,55.24,58.04
Dominican Republic,72.52,69.85,75.44
Ecuador,75.03,72.14,78.06
Egypt,72.51,71.23,75.82
El Salvador,71.43,66.55,76.08
Equatorial Guinea,50.1,48.87,51.48
Eritrea,60.03,57.61,62.23
Estonia,73.91,68.35,79.17
Ethiopia,57.21,55.7,58.74
Federated States of Micronesia,68.35,67.56,69.11
Fiji,68.8,66.09,71.9
Finland,79.34,75.89,82.75
France,81,77.48,84.32
French Guiana,75.89,72.55,79.89
French Polynesia,74.49,72.21,77.08
Gabon,61.28,60.24,62.35
Gambia,57.34,56.25,58.49
Georgia,73.05,69.36,76.5
Germany,79.85,77.2,82.39
Ghana,62.71,61.84,63.61
Greece,79.52,77.02,82.01
Grenada,75.35,73.71,76.79
Guadeloupe,79.39,75.71,82.88
Guam,75.5,73.25,77.94
Guatemala,70.27,66.73,73.79
Guinea,52.44,50.93,54.01
Guinea-Bissau,46.76,45.33,48.22
Guyana,68.7,65.53,71.93
Haiti,60.99,59.94,62.02
Honduras,72.07,69.74,74.51
Hong Kong,82.2,79.47,85.14
Hungary,73.64,69.54,77.64
Iceland,81.28,79.49,83.05
India,64.19,62.8,65.73
Indonesia,67.86,66.29,69.43
Iran,72.06,70.33,73.91
Iraq,67.32,63.37,71.69
Ireland,79.68,77.33,82.02
Israel,80.69,78.36,82.87
Italy,81.37,78.58,83.98
Jamaica,72.24,69.57,74.97
Japan,82.73,79.29,86.96
Jordan,72.91,71.65,74.29
Kazakhstan,65.78,60.18,71.53
Kenya,54.98,53.96,55.93
Kuwait,74.17,73.47,75.19
Kyrgyzstan,66.7,62.66,71.04
Laos,66.06,64.77,67.31
Latvia,72.27,66.88,77.45
Lebanon,72,69.86,74.18
Lesotho,46.02,46.46,45.18
Liberia,54.42,53.45,55.35
Libya,76.04,74.36,77.82
Lithuania,71.31,65.46,77.24
Luxembourg,79.39,76.7,81.98
Macau,80.03,77.74,82.57
Macedonia,74.22,72.12,76.32
Madagascar,65.77,64.27,67.3
Malawi,51.55,51.51,51.48
Malaysia,73.38,71.24,75.72
Maldives,75.55,74.64,76.52
Mali,49.99,48.89,50.99
Malta,78.8,76.34,81.19
Martinique,80.07,76.68,83.16
Mauritania,57.53,55.89,59.16
Mauritius,72.8,69.49,76.19
Mayotte,77.14,73.69,81.08
Mexico,76.19,73.73,78.63
Moldova,68.23,64.42,72.06
Mongolia,67.32,63.4,71.47
Montenegro,74.01,71.55,76.47
Morocco,71.16,68.96,73.44
Mozambique,48.77,47.56,49.88
Myanmar,63.54,62.08,64.98
Namibia,61.09,60.35,61.62
Nepal,67.42,66.71,68.04
Netherlands,80.2,78.5,82.19
Netherlands Antilles,76.14,72.65,79.36
New Caledonia,75.33,72.31,78.71
New Zealand,80.13,78.03,82.16
Nicaragua,72.98,69.91,76.12
Niger,53.08,52.66,53.55
Nigeria,50.26,49.5,51.03
North Korea,68.39,64.8,71.75
Norway,80.45,78.12,83
Oman,72.58,70.88,74.83
Pakistan,64.57,63.78,65.42
Palestine,72.17,70.6,73.81
Panama,75.51,72.98,78.21
Papua New Guinea,61.5,59.49,63.66
Paraguay,71.73,69.67,73.9
Peru,73.18,70.57,75.9
Philippines,67.8,64.54,71.29
Poland,75.51,71.17,79.85
Portugal,78.59,75.32,81.79
Puerto Rico,78.7,74.69,82.67
Qatar,77.88,78.07,77.29
Romania,73.16,69.57,76.83
Russian Federation,67.68,61.56,74.03
Rwanda,53.94,52.7,55.14
Réunion,77.26,73.69,81.08
Saint Lucia,73.92,71.42,76.58
Saint Vincent and the Grenadines,71.64,69.59,73.8
Samoa,71.54,68.62,74.89
Saudi Arabia,73.13,72.24,74.41
Senegal,58.17,57.19,59.13
Serbia,74,71.7,76.34
Sierra Leone,46.26,45.65,46.88
Singapore,80.6,78.5,83
Slovakia,74.72,70.73,78.65
Slovenia,78.59,74.97,81.99
Solomon Islands,66.39,65.12,67.76
Somalia,50.24,48.71,51.79
South Africa,51.2,50.13,52.08
South Korea,80,76.48,83.25
Spain,80.75,77.5,84
Sri Lanka,74.25,71.2,77.4
Sudan,60.27,58.59,62.01
Suriname,69.65,66.42,73.11
Swaziland,47.36,47.56,47.04
Sweden,80.88,78.78,82.93
Switzerland,81.81,79.31,84.12
Syrian Arab Republic,75.35,73.91,76.85
São Tomé and Príncipe,63.82,62.46,65.11
Taiwan,78.19,75.25,81.51
Tajikistan,66.44,63.29,69.91
Tanzania,55.44,54.62,56.19
Thailand,73.56,70.17,77.06
Timor-Leste,60.8,59.94,61.68
Togo,55.69,54.24,57.14
Tonga,71.84,69.05,74.7
Trinidad and Tobago,69.4,65.8,72.9
Tunisia,75.4,72.2,78.6
Turkey,76.3,73.7,79.4
Turkmenistan,64.65,60.62,68.91
U.S. Virgin Islands,78.94,75.89,82.01
Uganda,52.24,51.68,52.73
Ukraine,67.54,61.78,73.54
United Arab Emirates,75.94,75.25,77.04
United Kingdom,79.53,77.38,81.68
United States,77.97,75.35,80.51
Uruguay,76.36,72.72,79.85
Uzbekistan,67.44,64.33,70.66
Vanuatu,69.99,68.2,72.06
Venezuela,73.73,70.83,76.78
Viet Nam,74.35,72.33,76.21
Western Sahara,65.95,64.27,68.1
Yemen,63.94,62.52,65.36
Zambia,46.93,46.49,47.26
Zimbabwe,46.59,47.45,45.43